Type;SIRET;Numero PV;Raison sociale;Adresse;CP;UL;Ville;Département;Région;IDCC;FD;Lib IDCC;Date;Coll;Inscrits;Votants;sve_total;CGT;CFDT;CGT-FO;CFTC;CFE-CGC;SOLIDAIRES;UNSA;AUTRES
CSE;44915194300031;5214829;STEF TRANSPORT MONTPELLIER;RUE TERRE DE ROY;34740;MONTPELLIER;VENDARGUES;34;Occitanie;16;FD CGT TRANSPORT;TRANSPORTS ROUTIERS;31/05/2024;1;64;48;44;14;15;0;15;0;0;0;0
CSE;44467279400021;5286967;C.S.C. TRANSPORTS;CHE DE LA BEDISSIERE;34490;BEZIERS;THEZAN-LES-BEZIERS;34;Occitanie;16;FD CGT TRANSPORT;TRANSPORTS ROUTIERS;09/12/2024;5;14;13;13;2;0;11;0;0;0;0;0
CSE;45213551000025;5316171;DILILOG;3 RUE DE LA FONTAINE;34670;LUNEL;BAILLARGUES;34;Occitanie;16;FD CGT TRANSPORT;TRANSPORTS ROUTIERS;24/06/2024;5;43;21;16;0;0;0;16;0;0;0;0
CSE;77605426400010;4659673;MAISON D ENFANTS N-D DE BON SECOURS;2452  AV DU PERE SOULAS;34090;MONTPELLIER;MONTPELLIER;34;Occitanie;29;FD CGT SANTE, AS;HOSPITALISATION A BUT NON LUCRATIF FEHAP;21/06/2022;2;66;38;37;37;0;0;0;0;0;0;0
CSE;77605426400010;4659674;MAISON D ENFANTS N-D DE BON SECOURS;2452  AV DU PERE SOULAS;34090;MONTPELLIER;MONTPELLIER;34;Occitanie;29;FD CGT SANTE, AS;HOSPITALISATION A BUT NON LUCRATIF FEHAP;21/06/2022;1;50;18;17;17;0;0;0;0;0;0;0
CSE;31147185800077;4663164;FONDATION CHARLES MION AIDER SANTE;787 RUE DE LA VALSIERE;34790;MONTPELLIER;GRABELS;34;Occitanie;29;FD CGT SANTE, AS;HOSPITALISATION A BUT NON LUCRATIF FEHAP;09/06/2022;2;77;18;14;0;0;14;0;0;0;0;0
CSE;30007284000030;4664153;GROUPE ADENE;GROUPE ADENE PARC EUROMEDECINE II CS;34080;MONTPELLIER;MONTPELLIER;34;Occitanie;29;FD CGT SANTE, AS;HOSPITALISATION A BUT NON LUCRATIF FEHAP;08/06/2022;5;26;20;18;0;0;0;0;13;5;0;0
CSE;40196658500010;4678569;CENTRE DE LA ROSERAIE STE ODILE;16  RUE SAINT VINCENT DE PAUL;34090;MONTPELLIER;MONTPELLIER;34;Occitanie;29;FD CGT SANTE, AS;HOSPITALISATION A BUT NON LUCRATIF FEHAP;24/10/2022;1;36;23;21;0;21;0;0;0;0;0;0
CSE;40196658500010;4678570;CENTRE DE LA ROSERAIE STE ODILE;16  RUE SAINT VINCENT DE PAUL;34090;MONTPELLIER;MONTPELLIER;34;Occitanie;29;FD CGT SANTE, AS;HOSPITALISATION A BUT NON LUCRATIF FEHAP;24/10/2022;2;4;4;4;0;4;0;0;0;0;0;0
CSE;31147185800077;4683131;FONDATION CHARLES MION AIDER SANTE;787 RUE DE LA VALSIERE;34790;MONTPELLIER;GRABELS;34;Occitanie;29;FD CGT SANTE, AS;HOSPITALISATION A BUT NON LUCRATIF FEHAP;09/06/2022;1;341;228;204;0;0;204;0;0;0;0;0
CSE;81168609600017;4743474;ETABLISSEMENT INSTITUT SAINT PIERRE;371 AVENUE DE L EVECHE DE MAGUELONE;34250;MONTPELLIER;PALAVAS LES FLOTS;34;Occitanie;29;FD CGT SANTE, AS;HOSPITALISATION A BUT NON LUCRATIF FEHAP;26/10/2022;3;59;34;33;0;0;0;0;33;0;0;0
CSE;81168609600017;4743476;ETABLISSEMENT INSTITUT SAINT PIERRE;371 AVENUE DE L EVECHE DE MAGUELONE;34250;MONTPELLIER;PALAVAS LES FLOTS;34;Occitanie;29;FD CGT SANTE, AS;HOSPITALISATION A BUT NON LUCRATIF FEHAP;26/10/2022;1;79;14;11;11;0;0;0;0;0;0;0
CSE;81168609600017;4743477;ETABLISSEMENT INSTITUT SAINT PIERRE;371 AVENUE DE L EVECHE DE MAGUELONE;34250;MONTPELLIER;PALAVAS LES FLOTS;34;Occitanie;29;FD CGT SANTE, AS;HOSPITALISATION A BUT NON LUCRATIF FEHAP;26/10/2022;2;144;45;31;31;0;0;0;0;0;0;0
CSE;77558122601003;4766767;ASEI FOYER FRESCATIS;CHEMIN D APPRAT BP 35;34220;BÉDARIEUX;ST PONS DE THOMIERES;34;Occitanie;29;FD CGT SANTE, AS;HOSPITALISATION A BUT NON LUCRATIF FEHAP;22/11/2022;1;78;40;36;0;36;0;0;0;0;0;0
CSE;78015507300015;4789119;LES COMPAGNONS DE MAGUELONE;DOMAINE DE MAGUELONE;34250;MONTPELLIER;PALAVAS LES FLOTS;34;Occitanie;29;FD CGT SANTE, AS;HOSPITALISATION A BUT NON LUCRATIF FEHAP;31/01/2023;1;66;36;35;0;35;0;0;0;0;0;0
CSE;78015507300015;4789120;LES COMPAGNONS DE MAGUELONE;DOMAINE DE MAGUELONE;34250;MONTPELLIER;PALAVAS LES FLOTS;34;Occitanie;29;FD CGT SANTE, AS;HOSPITALISATION A BUT NON LUCRATIF FEHAP;31/01/2023;2;28;14;13;0;13;0;0;0;0;0;0
